I,f0,Ql,Qi,Qc,phi,delay,npoints
1.2400000000000002,5439303162.982151,118.99293994552114,356.84211576275726,178.52360557943723,-0.30710759091692524,,901
1.25,5442926680.098982,111.63742873554266,311.3867085414469,174.03022187498993,-0.39813033148919397,,901
1.2600000000000002,5443789848.639265,111.52742562976728,300.87319789902324,177.2187084006099,-0.42815430688287365,,901
1.27,5443920593.569766,114.63928296335776,303.8088935334572,184.11220284063793,-0.41462030078855283,,901
1.2800000000000005,5443325848.918998,119.12214530056498,341.94595127058767,182.80513213060755,-0.379374289444009,,901
1.29,5442900814.225593,118.63739109599824,342.06698980780584,181.63186741969864,-0.37229996632705864,,901
1.3000000000000005,5443813751.271318,112.7328184204799,326.4702134816525,172.19217669228632,-0.38153317634959,,901
1.31,5442963182.628783,111.42891850835923,312.6368966161768,173.13822047892634,-0.3458145416237509,,901
1.32,5442238001.499125,112.18104435285541,315.5193457997011,174.07094223511456,-0.3133040910320546,,901
1.33,5443002472.547175,116.25511126609464,333.0320989052427,178.601447206466,-0.328295176254205,,901
1.34,5443087667.03572,113.83151582759092,324.7285519073223,175.27199046142286,-0.33582387566998273,,901
1.3500000000000003,5444038544.573894,118.91354410907664,332.0467578244881,185.25905040572772,-0.35685474520519644,,901
1.3599999999999997,5444226758.310605,113.81785464082846,316.534027138329,177.72249468724846,-0.3506454240101082,,901
1.3700000000000003,5444421504.679526,112.2058875124789,308.85692826951254,176.22874314546013,-0.3557902427581366,,901
1.3799999999999997,5445912418.878361,113.67127588937747,308.7025145011849,179.92301614539568,-0.3814106963332969,,901
1.3900000000000003,5445112250.696619,114.50720197635384,308.6697139146024,182.0377421077238,-0.3751199709953843,,901
1.3999999999999997,5441627247.703074,118.25188757728904,328.1681276693576,184.8665949932502,-0.24780699871469983,,901
1.4100000000000004,5442909020.551255,119.39689939113254,334.166533989901,185.7732268028195,-0.2853921819498601,,901
1.4199999999999997,5444721795.679161,116.40287145530789,310.10640202525065,186.3532148650188,-0.32738831043443417,,901
1.4300000000000004,5432507664.270327,121.96403990027126,347.8002055850281,187.83137777191752,0.08899737865087394,,901
1.44,5442028841.881386,119.73384557702626,338.3030995191578,185.32492720490617,-0.2503164383348794,,901
1.4500000000000004,5431273574.939324,122.52120346081786,351.6566012035914,188.03463109079456,0.15346392000575843,,901
1.46,5444416822.850001,123.61912454082757,369.5930238052444,185.74639901157596,-0.31984052264275126,,901
1.4700000000000004,5445779536.597023,110.96314413435478,296.57918693514813,177.2980318433657,-0.34674762837131,,901
1.48,5434493838.235092,123.95820959119446,370.4588144106767,186.29330096473115,0.05226554527406066,,901
1.4900000000000002,5444732003.7365265,113.78990484803778,313.1851125700193,178.72698429570033,-0.3239992137819526,,901
